cell_name,wbbt_id,wbbt_label,confidence,note
R1stR,WBbt:0004043,R1stR,high,WBBT label match (Cook 2019 male-specific/new cell)
R2AL,WBbt:0004042,R2AL,high,WBBT label match (Cook 2019 male-specific/new cell)
R2AR,WBbt:0004041,R2AR,high,WBBT label match (Cook 2019 male-specific/new cell)
R2BL,WBbt:0004040,R2BL,high,WBBT label match (Cook 2019 male-specific/new cell)
R2BR,WBbt:0004039,R2BR,high,WBBT label match (Cook 2019 male-specific/new cell)
R2shL,WBbt:0004038,R2stL,high,Cook ray sheath cell; maps to WBbt R2stL (Emmons/WormWiring naming: sh=st).
R2shR,WBbt:0004037,R2stR,high,Cook ray sheath cell; maps to WBbt R2stR (Emmons/WormWiring naming: sh=st). NOTE: Cook also has R2stR grounded to the same term (shares anatomy).
R2stR,WBbt:0004037,R2stR,high,WBBT label match (Cook 2019 male-specific/new cell)
R3AL,WBbt:0004036,R3AL,high,WBBT label match (Cook 2019 male-specific/new cell)
R3AR,WBbt:0004035,R3AR,high,WBBT label match (Cook 2019 male-specific/new cell)
R3BL,WBbt:0004034,R3BL,high,WBBT label match (Cook 2019 male-specific/new cell)
R3BR,WBbt:0004033,R3BR,high,WBBT label match (Cook 2019 male-specific/new cell)
R3shL,WBbt:0004032,R3stL,high,Cook ray sheath cell; maps to WBbt R3stL (Emmons/WormWiring naming: sh=st). NOTE: Cook also has R3stL grounded to the same term (shares anatomy).
R3shR,WBbt:0004031,R3stR,high,Cook ray sheath cell; maps to WBbt R3stR (Emmons/WormWiring naming: sh=st).
R3stL,WBbt:0004032,R3stL,high,WBBT label match (Cook 2019 male-specific/new cell)
R4AL,WBbt:0004030,R4AL,high,WBBT label match (Cook 2019 male-specific/new cell)
R4AR,WBbt:0004029,R4AR,high,WBBT label match (Cook 2019 male-specific/new cell)
R4BL,WBbt:0004028,R4BL,high,WBBT label match (Cook 2019 male-specific/new cell)
R4BR,WBbt:0004027,R4BR,high,WBBT label match (Cook 2019 male-specific/new cell)
R4shL,WBbt:0004026,R4stL,high,Cook ray sheath cell; maps to WBbt R4stL (Emmons/WormWiring naming: sh=st).
R5AL,WBbt:0004024,R5AL,high,WBBT label match (Cook 2019 male-specific/new cell)
R5AR,WBbt:0004023,R5AR,high,WBBT label match (Cook 2019 male-specific/new cell)
R5BL,WBbt:0004022,R5BL,high,WBBT label match (Cook 2019 male-specific/new cell)
R5BR,WBbt:0004021,R5BR,high,WBBT label match (Cook 2019 male-specific/new cell)
R5shL,WBbt:0004020,R5stL,high,Cook ray sheath cell; maps to WBbt R5stL (Emmons/WormWiring naming: sh=st). NOTE: Cook also has R5stL grounded to the same term (shares anatomy).
R5shR,WBbt:0004019,R5stR,high,Cook ray sheath cell; maps to WBbt R5stR (Emmons/WormWiring naming: sh=st).
R5stL,WBbt:0004020,R5stL,high,WBBT label match (Cook 2019 male-specific/new cell)
R6AL,WBbt:0004018,R6AL,high,WBBT label match (Cook 2019 male-specific/new cell)
R6AR,WBbt:0004016,R6AR,high,WBBT label match (Cook 2019 male-specific/new cell)
R6BL,WBbt:0004014,R6BL,high,WBBT label match (Cook 2019 male-specific/new cell)
R6BR,WBbt:0004012,R6BR,high,WBBT label match (Cook 2019 male-specific/new cell)
R7AL,WBbt:0004006,R7AL,high,WBBT label match (Cook 2019 male-specific/new cell)
R7AR,WBbt:0004002,R7AR,high,WBBT label match (Cook 2019 male-specific/new cell)
R7BL,WBbt:0004001,R7BL,high,WBBT label match (Cook 2019 male-specific/new cell)
R7BR,WBbt:0004000,R7BR,high,WBBT label match (Cook 2019 male-specific/new cell)
R7shR,WBbt:0003996,R7stR,high,Cook ray sheath cell; maps to WBbt R7stR (Emmons/WormWiring naming: sh=st). NOTE: Cook also has R7stR grounded to the same term (shares anatomy).
R7stL,WBbt:0003998,R7stL,high,WBBT label match (Cook 2019 male-specific/new cell)
R7stR,WBbt:0003996,R7stR,high,WBBT label match (Cook 2019 male-specific/new cell)
R8AL,WBbt:0003994,R8AL,high,WBBT label match (Cook 2019 male-specific/new cell)
R8AR,WBbt:0003992,R8AR,high,WBBT label match (Cook 2019 male-specific/new cell)
R8BL,WBbt:0003990,R8BL,high,WBBT label match (Cook 2019 male-specific/new cell)
R8BR,WBbt:0003988,R8BR,high,WBBT label match (Cook 2019 male-specific/new cell)
R8shR,WBbt:0003972,R8stR,high,Cook ray sheath cell; maps to WBbt R8stR (Emmons/WormWiring naming: sh=st).
R9AL,WBbt:0003971,R9AL,high,WBBT label match (Cook 2019 male-specific/new cell)
R9AR,WBbt:0003970,R9AR,high,WBBT label match (Cook 2019 male-specific/new cell)
R9BL,WBbt:0003968,R9BL,high,WBBT label match (Cook 2019 male-specific/new cell)
R9BR,WBbt:0003966,R9BR,high,WBBT label match (Cook 2019 male-specific/new cell)
R9stL,WBbt:0003964,R9stL,high,WBBT label match (Cook 2019 male-specific/new cell)
SPCL,WBbt:0004968,SPCL,high,WBBT label match (Cook 2019 male-specific/new cell)
SPCR,WBbt:0004967,SPCR,high,WBBT label match (Cook 2019 male-specific/new cell)
SPDL,WBbt:0004966,SPDL,high,WBBT label match (Cook 2019 male-specific/new cell)
SPDR,WBbt:0004965,SPDR,high,WBBT label match (Cook 2019 male-specific/new cell)
SPVL,WBbt:0004964,SPVL,high,WBBT label match (Cook 2019 male-specific/new cell)
SPVR,WBbt:0004963,SPVR,high,WBBT label match (Cook 2019 male-specific/new cell)
ailL,WBbt:0003790,anterior inner longitudinal muscle left,high,"Cook 2019 (M4b, external-term-lookup): male copulatory-apparatus muscle (WBBT related-synonym confirmed)"
ailR,WBbt:0003785,anterior inner longitudinal muscle right,high,"Cook 2019 (M4b, external-term-lookup): male copulatory-apparatus muscle (WBBT related-synonym confirmed)"
aobL,WBbt:0004916,anterior oblique muscle left,high,"Cook 2019 (M4b, external-term-lookup): male copulatory-apparatus muscle (WBBT related-synonym confirmed)"
aobR,WBbt:0004914,anterior oblique muscle right,high,"Cook 2019 (M4b, external-term-lookup): male copulatory-apparatus muscle (WBBT related-synonym confirmed)"
bm,WBbt:0005756,basal lamina,high,Cook 2019: basement membrane (NSM/pharyngeal secretion target; NSML/NSMR->bm confirm)
cdlL,WBbt:0003788,caudal longitudinal muscle left,high,"Cook 2019 (M4b, external-term-lookup): male copulatory-apparatus muscle (WBBT related-synonym confirmed)"
cdlR,WBbt:0003783,caudal longitudinal muscle right,high,"Cook 2019 (M4b, external-term-lookup): male copulatory-apparatus muscle (WBBT related-synonym confirmed)"
dglL1,WBbt:0008381,diagonal muscle left,high,"Cook 2019 (M4b, external-term-lookup): male tail diagonal muscle (Cook 'dgl'); individual -> side term"
dglL2,WBbt:0008381,diagonal muscle left,high,"Cook 2019 (M4b, external-term-lookup): male tail diagonal muscle (Cook 'dgl'); individual -> side term"
dglL3,WBbt:0008381,diagonal muscle left,high,"Cook 2019 (M4b, external-term-lookup): male tail diagonal muscle (Cook 'dgl'); individual -> side term"
dglL4,WBbt:0008381,diagonal muscle left,high,"Cook 2019 (M4b, external-term-lookup): male tail diagonal muscle (Cook 'dgl'); individual -> side term"
dglL5,WBbt:0008381,diagonal muscle left,high,"Cook 2019 (M4b, external-term-lookup): male tail diagonal muscle (Cook 'dgl'); individual -> side term"
dglL6,WBbt:0008381,diagonal muscle left,high,"Cook 2019 (M4b, external-term-lookup): male tail diagonal muscle (Cook 'dgl'); individual -> side term"
dglL7,WBbt:0008381,diagonal muscle left,high,"Cook 2019 (M4b, external-term-lookup): male tail diagonal muscle (Cook 'dgl'); individual -> side term"
dglR1,WBbt:0008380,diagonal muscle right,high,"Cook 2019 (M4b, external-term-lookup): male tail diagonal muscle (Cook 'dgl'); individual -> side term"
dglR2,WBbt:0008380,diagonal muscle right,high,"Cook 2019 (M4b, external-term-lookup): male tail diagonal muscle (Cook 'dgl'); individual -> side term"
dglR3,WBbt:0008380,diagonal muscle right,high,"Cook 2019 (M4b, external-term-lookup): male tail diagonal muscle (Cook 'dgl'); individual -> side term"
dglR4,WBbt:0008380,diagonal muscle right,high,"Cook 2019 (M4b, external-term-lookup): male tail diagonal muscle (Cook 'dgl'); individual -> side term"
